iter	Passed	Remaining
0	136	136525
1	137	68650
2	138	45987
3	139	34663
4	140	27876
5	140	23307
6	141	20023
7	141	17584
8	142	15684
9	142	14155
10	143	12899
11	144	11868
12	144	10983
13	145	10224
14	145	9578
15	146	9004
16	146	8493
17	147	8067
18	148	7676
19	149	7329
20	150	7005
21	150	6707
22	151	6435
23	152	6186
24	152	5964
25	153	5755
26	154	5555
27	154	5372
28	155	5202
29	156	5047
30	156	4896
31	157	4763
32	158	4633
33	158	4511
34	159	4404
35	160	4293
36	160	4188
37	161	4091
38	162	4006
39	163	3916
40	163	3834
41	164	3754
42	165	3683
43	166	3609
44	166	3542
45	167	3474
46	168	3411
47	168	3348
48	169	3293
49	170	3233
50	170	3175
51	171	3121
52	172	3076
53	172	3025
54	173	2980
55	174	2934
56	174	2889
57	175	2850
58	176	2809
59	177	2776
60	178	2741
61	178	2703
62	179	2665
63	179	2629
64	180	2595
65	181	2564
66	181	2531
67	182	2498
68	182	2468
69	183	2438
70	184	2409
71	184	2381
72	185	2354
73	186	2327
74	186	2301
75	187	2274
76	187	2249
77	188	2225
78	188	2201
79	189	2179
80	190	2157
81	190	2135
82	191	2110
83	191	2088
84	192	2068
85	192	2047
86	193	2028
87	194	2010
88	194	1992
89	195	1975
90	195	1956
91	196	1939
92	197	1922
93	197	1905
94	198	1889
95	198	1872
96	199	1856
97	200	1841
98	200	1825
99	201	1811
100	201	1797
101	202	1785
102	203	1771
103	204	1757
104	204	1743
105	205	1730
106	205	1716
107	206	1703
108	206	1691
109	207	1678
110	208	1665
111	208	1655
112	209	1643
113	209	1630
114	210	1618
115	210	1606
116	211	1594
117	211	1583
118	212	1572
119	213	1562
120	213	1551
121	214	1540
122	214	1530
123	215	1520
124	215	1510
125	216	1500
126	216	1489
127	217	1479
128	217	1471
129	218	1462
130	219	1453
131	219	1445
132	220	1437
133	221	1429
134	221	1421
135	222	1413
136	223	1405
137	223	1398
138	224	1390
139	225	1383
140	225	1375
141	226	1366
142	226	1360
143	227	1353
144	228	1345
145	228	1337
146	229	1330
147	229	1323
148	230	1316
149	231	1310
150	231	1302
151	232	1296
152	232	1288
153	233	1282
154	234	1276
155	234	1269
156	235	1262
157	235	1255
158	236	1250
159	236	1243
160	237	1236
161	237	1230
162	238	1224
163	239	1219
164	239	1213
165	240	1207
166	241	1202
167	241	1196
168	242	1191
169	242	1185
170	243	1180
171	243	1174
172	244	1169
173	245	1164
174	245	1158
175	246	1153
176	246	1148
177	247	1143
178	248	1138
179	249	1135
180	249	1131
181	250	1126
182	251	1121
183	251	1115
184	252	1110
185	252	1106
186	253	1101
187	253	1096
188	254	1092
189	255	1088
190	255	1083
191	256	1079
192	256	1074
193	257	1069
194	257	1065
195	258	1060
196	259	1056
197	259	1051
198	260	1047
199	260	1042
200	261	1038
201	261	1034
202	262	1029
203	262	1025
204	263	1021
205	264	1017
206	264	1013
207	265	1009
208	265	1005
209	266	1001
210	266	997
211	267	993
212	267	989
213	268	986
214	269	982
215	269	979
216	270	975
217	270	972
218	271	968
219	272	964
220	272	961
221	273	958
222	274	954
223	274	951
224	275	948
225	275	944
226	276	941
227	276	937
228	277	934
229	278	931
230	278	927
231	279	924
232	279	921
233	280	917
234	281	914
235	281	911
236	282	908
237	282	905
238	283	901
239	283	898
240	284	895
241	285	892
242	285	889
243	286	887
244	287	885
245	287	882
246	288	879
247	289	877
248	290	875
249	291	874
250	292	872
251	293	871
252	294	869
253	295	867
254	296	864
255	297	863
256	298	861
257	299	859
258	299	858
259	300	856
260	301	854
261	302	852
262	303	850
263	304	847
264	304	845
265	305	842
266	306	840
267	306	837
268	307	835
269	307	832
270	308	829
271	309	828
272	309	825
273	310	822
274	311	820
275	311	817
276	312	814
277	312	812
278	313	810
279	314	807
280	314	805
281	315	802
282	315	800
283	316	797
284	317	795
285	317	793
286	318	791
287	319	789
288	319	786
289	320	784
290	321	782
291	321	779
292	322	777
293	322	775
294	323	773
295	324	770
296	324	768
297	325	766
298	325	764
299	326	761
300	327	759
301	327	757
302	328	755
303	329	753
304	329	751
305	330	749
306	331	747
307	331	745
308	332	743
309	333	741
310	333	739
311	334	737
312	334	735
313	335	733
314	336	731
315	336	728
316	337	726
317	337	724
318	338	722
319	339	720
320	339	718
321	340	716
322	340	714
323	341	712
324	342	710
325	342	708
326	343	706
327	344	704
328	344	702
329	345	701
330	346	699
331	346	698
332	347	696
333	348	694
334	348	692
335	349	690
336	350	688
337	350	686
338	351	684
339	351	683
340	352	681
341	353	679
342	353	677
343	354	675
344	354	673
345	355	672
346	356	670
347	356	668
348	357	666
349	357	664
350	358	662
351	358	660
352	359	659
353	360	657
354	361	656
355	362	655
356	363	654
357	364	652
358	364	651
359	365	649
360	365	647
361	366	646
362	367	644
363	367	642
364	368	641
365	369	639
366	369	637
367	370	636
368	370	634
369	371	632
370	372	631
371	373	629
372	373	628
373	374	626
374	374	624
375	375	622
376	375	621
377	376	619
378	377	617
379	377	616
380	378	614
381	378	612
382	379	611
383	380	609
384	380	608
385	381	607
386	382	605
387	383	604
388	383	602
389	384	601
390	385	600
391	386	598
392	386	597
393	387	595
394	387	594
395	388	592
396	388	590
397	389	589
398	390	587
399	390	586
400	391	584
401	392	583
402	392	581
403	393	580
404	394	579
405	394	577
406	395	576
407	396	574
408	396	573
409	397	571
410	397	569
411	398	568
412	398	566
413	399	565
414	399	563
415	400	562
416	400	560
417	401	558
418	401	557
